茶壶茶杯A（下）|カップとポットA（下）
教堂桌子B|教会机B
装饰柱A|装飾柱A
装饰柱B|装飾柱B
装饰柱A（废墟）|装飾柱A（廃墟）
装饰柱B（废墟）|装飾柱B（廃墟）
金条A|金の延べ棒A
金条B|金の延べ棒B
银条A|銀の延べ棒A
银条B|銀の延べ棒B
装饰柱A|装飾柱A
装饰柱B|装飾柱B
装饰柱A（废墟）|装飾柱A（廃墟）
装饰柱B（废墟）|装飾柱B（廃墟）
石碑A|石碑A
石碑B|石碑B
恶魔雕像|悪魔像
龙雕像|竜像
龙雕像|竜像
大石碑|大きな石碑
大石碑|大きな石碑
大石碑|大きな石碑
石碑A|石碑A
石碑C|石碑C
恶魔雕像|悪魔像
龙雕像|竜像
龙雕像|竜像
大石碑|大きな石碑
大石碑|大きな石碑
大石碑|大きな石碑
栏杆（木制）|段差用手すり（木製）
栏杆（木制）|段差用手すり（木製）
栏杆（木制）|段差用手すり（木製）
栏杆（木制）|段差用手すり（木製）
栏杆（木制）|段差用手すり（木製）
栏杆（木制）|段差用手すり（木製）
栏杆（木制）|段差用手すり（木製）
栏杆（木制）|段差用手すり（木製）
扶手A（木制）|階段用手すりA（木製）
扶手A（木制）|階段用手すりA（木製）
扶手B（石）|階段用手すりB（石）
扶手B（石）|階段用手すりB（石）
扶手C（神殿）|階段用手すりC（神殿）
扶手C（神殿）|階段用手すりC（神殿）
扶手D（城堡）|階段用手すりD（城）
扶手D（城堡）|階段用手すりD（城）
扶手A（木制）|階段用手すりA（木製）
扶手A（木制）|階段用手すりA（木製）
扶手B（石）|階段用手すりB（石）
扶手B（石）|階段用手すりB（石）
扶手C（神殿）|階段用手すりC（神殿）
扶手C（神殿）|階段用手すりC（神殿）
扶手D（城堡）|階段用手すりD（城）
扶手D（城堡）|階段用手すりD（城）
扶手A（木制）|階段用手すりA（木製）
扶手A（木制）|階段用手すりA（木製）
扶手B（石）|階段用手すりB（石）
扶手B（石）|階段用手すりB（石）
扶手C（神殿）|階段用手すりC（神殿）
扶手C（神殿）|階段用手すりC（神殿）
扶手D（城堡）|階段用手すりD（城）
扶手D（城堡）|階段用手すりD（城）
